plate,well,row,col,species,stages,strains,treatment,conc,other,ImageNumber,ObjectNumber,worm?,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Researcher,Metadata_Series,FileName_RawImage,FileName_WellMask,PathName_RawImage,PathName_WellMask,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity
20211216-p28-EJG_1082,A01,A,1,Cel,Adult,DC19,Ivermectin,0.0005uM,48hr,39,1,P,20211216,file:/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1/20211216-p28-EJG_A01.TIF,0,p28,EJG,0,TimePoint_1/20211216-p28-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1,/var/lib/condor/execute/slot1/dir_4417/wrmXpress/cp_pipelines/masks,4317,4620,21,224,0,4,9.926569377,113.593931,4.035350186,0.995240329,74.1388907,1,0.934415584,0.247809968,239.7151969,219.020547,11,5.453717817,5,20,23.36047413,0.074365394,467.882251,0.986742857
20211216-p28-EJG_1082,A01,A,1,Cel,Adult,DC19,Ivermectin,0.0005uM,48hr,39,2,P,20211216,file:/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1/20211216-p28-EJG_A01.TIF,0,p28,EJG,0,TimePoint_1/20211216-p28-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1,/var/lib/condor/execute/slot1/dir_4417/wrmXpress/cp_pipelines/masks,3717,3990,42,194,21,4,30.93812214,97.97067528,3.441081912,0.993565768,68.79412321,1,0.931578947,0.290606276,206.3418008,189.023808,11,5.446402721,5,20,23.36957766,0.099216076,400.9116882,0.989353207
20211216-p28-EJG_1082,A01,A,1,Cel,Adult,DC19,Ivermectin,0.0005uM,48hr,39,3,P,20211216,file:/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1/20211216-p28-EJG_A01.TIF,0,p28,EJG,0,TimePoint_1/20211216-p28-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1,/var/lib/condor/execute/slot1/dir_4417/wrmXpress/cp_pipelines/masks,3963,4242,63,206,42,4,51.86575826,104.3154176,3.688133593,0.994355476,71.03413486,1,0.934229137,0.271139853,220.1748277,201.0223868,11,5.448970397,5,20,23.36052602,9.69E-04,428.5685425,0.988279302
20211216-p28-EJG_1082,A01,A,1,Cel,Adult,DC19,Ivermectin,0.0005uM,48hr,39,4,P,20211216,file:/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1/20211216-p28-EJG_A01.TIF,0,p28,EJG,0,TimePoint_1/20211216-p28-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1,/var/lib/condor/execute/slot1/dir_4417/wrmXpress/cp_pipelines/masks,3045,3276,84,160,63,4,72.86403941,81.1182266,2.985327112,0.990393915,62.26567605,1,0.929487179,0.334971667,169.093229,155.0129027,11,5.421938507,5,20,23.38131638,-0.141472805,337.9827561,0.985755908
20211216-p28-EJG_1082,A01,A,1,Cel,Adult,DC19,Ivermectin,0.0005uM,48hr,39,5,Y,20211216,file:/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1/20211216-p28-EJG_A01.TIF,0,p28,EJG,0,TimePoint_1/20211216-p28-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1,/var/lib/condor/execute/slot1/dir_4417/wrmXpress/cp_pipelines/masks,3279,3528,105,172,84,4,93.8716072,87.46111619,3.132232276,0.991762826,64.6138721,1,0.929421769,0.319261125,182.2079097,167.0119756,11,5.430966305,5,20,23.33861873,0.025343228,359.254834,0.986165414
20211216-p28-EJG_1082,A01,A,1,Cel,Adult,DC19,Ivermectin,0.0005uM,48hr,39,6,P,20211216,file:/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1/20211216-p28-EJG_A01.TIF,0,p28,EJG,0,TimePoint_1/20211216-p28-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1,/var/lib/condor/execute/slot1/dir_4417/wrmXpress/cp_pipelines/masks,3515,3759,126,183,105,4,115.0133713,93.17837838,3.36502226,0.9926201,66.89870701,1,0.935089119,0.297174854,194.5266012,178.1010949,11,5.460193503,5,20,23.58937789,0.046262845,385.5330086,0.979108635
20211216-p28-EJG_1082,A01,A,1,Cel,Adult,DC19,Ivermectin,0.0005uM,48hr,39,7,P,20211216,file:/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1/20211216-p28-EJG_A01.TIF,0,p28,EJG,0,TimePoint_1/20211216-p28-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1,/var/lib/condor/execute/slot1/dir_4417/wrmXpress/cp_pipelines/masks,3820,4053,147,202,126,9,135.9748691,104.0151832,3.678674525,0.993748437,69.74077044,1,0.94251172,0.271837042,211.4048022,192.0937271,11,5.454483367,5,20,23.60175739,0.074011935,420.2253967,0.980744544
20211216-p28-EJG_1082,A01,A,1,Cel,Adult,DC19,Ivermectin,0.0005uM,48hr,39,8,Y,20211216,file:/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1/20211216-p28-EJG_A01.TIF,0,p28,EJG,0,TimePoint_1/20211216-p28-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1,/var/lib/condor/execute/slot1/dir_4417/wrmXpress/cp_pipelines/masks,4524,4830,168,234,147,4,156.943855,118.5592396,4.195281497,0.995649383,75.89555784,1,0.936645963,0.238363028,251.0241765,229.0349318,11,5.455313703,5,20,23.39015384,-0.060068378,488.3675324,0.986910995
20211216-p28-EJG_1082,A01,A,1,Cel,Adult,DC19,Ivermectin,0.0005uM,48hr,39,9,N,20211216,file:/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1/20211216-p28-EJG_A01.TIF,0,p28,EJG,0,TimePoint_1/20211216-p28-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1,/var/lib/condor/execute/slot1/dir_4417/wrmXpress/cp_pipelines/masks,2612,2835,189,139,168,4,178.0275651,70.69027565,2.620036387,0.987060406,57.66889708,1,0.921340388,0.381674089,145.2083755,134.0037313,11,5.394128066,5,20,23.28399702,0.030056518,293.254834,0.98528857
20211216-p28-EJG_1082,A02,A,2,Cel,Adult,DC19,Ivermectin,0.0005uM,48hr,31,1,Y,20211216,file:/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1/20211216-p28-EJG_A02.TIF,0,p28,EJG,0,TimePoint_1/20211216-p28-EJG_A02.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_4417/input/20211216-p28-EJG_1082/TimePoint_1,/var/lib/condor/execute/slot1/dir_4417/wrmXpress/cp_pipelines/masks,5168,5502,21,266,0,4,9.921439628,134.1027477,4.661749098,0.996666558,81.11782768,1,0.939294802,0.214511759,286.8455912,261.0172408,11,5.472502521,5,20,23.40169821,-0.085329085,550.2253967,0.985131529
