plate,well,row,col,species,stages,strains,treatment,conc,other,ImageNumber,ObjectNumber,worm?,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Researcher,Metadata_Series,FileName_RawImage,FileName_WellMask,PathName_RawImage,PathName_WellMask,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity
20211118-p01-EJG_975,A01,A,1,Cel,Adult,N2,Ivermectin,0.0005uM,48hr,39,1,Y,20211118,file:/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1/20211118-p01-EJG_A01.TIF,0,p01,EJG,0,TimePoint_1/20211118-p01-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1,/var/lib/condor/execute/slot1/dir_31953/wrmXpress/cp_pipelines/masks,5379,5649,21,282,0,13,9.944971184,145.518312,4.819196861,0.996830547,82.75720821,1,0.95220393,0.207503455,297.3767163,268.1510768,11,5.519880861,5,20,23.65754701,-0.034075791,570.746212,0.987153606
20211118-p01-EJG_975,A01,A,1,Cel,Adult,N2,Ivermectin,0.0005uM,48hr,39,2,Y,20211118,file:/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1/20211118-p01-EJG_A01.TIF,0,p01,EJG,0,TimePoint_1/20211118-p01-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1,/var/lib/condor/execute/slot1/dir_31953/wrmXpress/cp_pipelines/masks,4730,5187,42,251,21,4,30.84989429,124.7215645,4.818974712,0.996176617,77.60427209,1,0.911895122,0.207513021,267.1150641,246.018292,11,5.302498764,5,20,23.33575081,-0.195893609,535.1959595,0.958848571
20211118-p01-EJG_975,A01,A,1,Cel,Adult,N2,Ivermectin,0.0005uM,48hr,39,3,P,20211118,file:/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1/20211118-p01-EJG_A01.TIF,0,p01,EJG,0,TimePoint_1/20211118-p01-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1,/var/lib/condor/execute/slot1/dir_31953/wrmXpress/cp_pipelines/masks,3832,4116,63,200,42,4,51.92849687,100.6406576,3.660548445,0.993750387,69.85022502,1,0.931000972,0.273183108,211.8811907,195.0922859,11,5.468928909,5,20,23.65126455,-0.010308978,419.8467171,0.980803686
20211118-p01-EJG_975,A01,A,1,Cel,Adult,N2,Ivermectin,0.0005uM,48hr,39,4,P,20211118,file:/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1/20211118-p01-EJG_A01.TIF,0,p01,EJG,0,TimePoint_1/20211118-p01-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1,/var/lib/condor/execute/slot1/dir_31953/wrmXpress/cp_pipelines/masks,2505,2688,84,132,63,4,73.00918164,67.8255489,2.589327287,0.985427534,56.47534913,1,0.931919643,0.386200696,138.6619673,127.251719,11,5.395320563,5,20,23.58581567,-0.024304584,285.4974747,0.977370269
20211118-p01-EJG_975,A01,A,1,Cel,Adult,N2,Ivermectin,0.0005uM,48hr,39,5,Y,20211118,file:/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1/20211118-p01-EJG_A01.TIF,0,p01,EJG,0,TimePoint_1/20211118-p01-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1,/var/lib/condor/execute/slot1/dir_31953/wrmXpress/cp_pipelines/masks,3972,4347,105,224,84,17,94.13267875,120.9476334,4.448196987,0.994495932,71.11474862,1,0.913733609,0.224810188,226.4745721,206.1965082,11,5.225664733,5,20,23.7289163,-0.305947138,471.1959595,0.943467933
20211118-p01-EJG_975,A01,A,1,Cel,Adult,N2,Ivermectin,0.0005uM,48hr,39,6,Y,20211118,file:/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1/20211118-p01-EJG_A01.TIF,0,p01,EJG,0,TimePoint_1/20211118-p01-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1,/var/lib/condor/execute/slot1/dir_31953/wrmXpress/cp_pipelines/masks,5472,5649,126,283,105,14,115.0213816,148.9314693,4.779027158,0.996866914,83.46955606,1,0.968667021,0.209247608,301.7596807,268.4194479,11,5.565182333,5.099019514,20,23.86832368,0.065274822,573.254834,0.987369181
20211118-p01-EJG_975,A01,A,1,Cel,Adult,N2,Ivermectin,0.0005uM,48hr,39,7,Y,20211118,file:/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1/20211118-p01-EJG_A01.TIF,0,p01,EJG,0,TimePoint_1/20211118-p01-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1,/var/lib/condor/execute/slot1/dir_31953/wrmXpress/cp_pipelines/masks,5533,6006,147,290,126,4,136.0791614,143.7860112,5.560391897,0.997111589,83.93351179,1,0.921245421,0.179843439,309.4429959,285.0017544,11,5.353123437,5,20,23.5023529,0.120711327,621.7817459,0.966294097
20211118-p01-EJG_975,A01,A,1,Cel,Adult,N2,Ivermectin,0.0005uM,48hr,39,8,P,20211118,file:/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1/20211118-p01-EJG_A01.TIF,0,p01,EJG,0,TimePoint_1/20211118-p01-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1,/var/lib/condor/execute/slot1/dir_31953/wrmXpress/cp_pipelines/masks,2380,2688,168,132,147,4,156.8260504,66.57731092,3.135419037,0.985820922,55.04825262,1,0.885416667,0.318936636,140.5913033,127.0157471,11,4.96691372,5,20,23.59133404,0.034188408,306.2253967,0.944819373
20211118-p01-EJG_975,A01,A,1,Cel,Adult,N2,Ivermectin,0.0005uM,48hr,39,9,Y,20211118,file:/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1/20211118-p01-EJG_A01.TIF,0,p01,EJG,0,TimePoint_1/20211118-p01-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1,/var/lib/condor/execute/slot1/dir_31953/wrmXpress/cp_pipelines/masks,5787,6132,189,296,168,4,178.029549,148.9110074,5.120557066,0.997317109,85.83843688,1,0.943737769,0.195291252,320.5976804,291.0068728,11,5.505024721,5,20,23.46850285,-0.009865562,610.2253967,0.988554834
20211118-p01-EJG_975,A01,A,1,Cel,Adult,N2,Ivermectin,0.0005uM,48hr,39,10,Y,20211118,file:/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1/20211118-p01-EJG_A01.TIF,0,p01,EJG,0,TimePoint_1/20211118-p01-EJG_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_31953/input/20211118-p01-EJG_975/TimePoint_1,/var/lib/condor/execute/slot1/dir_31953/wrmXpress/cp_pipelines/masks,4992,5313,210,257,189,4,198.9959936,129.71875,4.549509957,0.996408405,79.72459976,1,0.939582157,0.219803893,276.7216105,252.0019841,11,5.484967585,5,20,23.43211283,-0.033231557,534.2253967,0.98714653
